elite-one_point-simple-traditional,20,14,37,7,23,10,15,10,18,12
elite-one_point-simple-young,17,7,22,18,14,18,23,14,18,15
elite-one_point-multi-traditional,182,15,26,55,16,15,11,52,21,119
elite-one_point-multi-young,93, 16, 16, 72, 29, 16, 36, 22, 14, 40
elite-two_point-simple-traditional,18, 25, 30, 8, 43, 19, 51, 19, 11, 29
elite-two_point-simple-young,14, 36, 13, 23, 25, 36, 20, 11, 18, 28
elite-two_point-multi-traditional,178, 81, 66, 132, 76, 64, 35, 18, 196, 13
elite-two_point-multi-young,37, 30, 76, 30, 31, 200, 85, 170, 417, 51
elite-ring-simple-traditional,45, 15, 51, 34, 23, 9, 19, 18, 17, 12
elite-ring-simple-young,17, 40, 41, 57, 29, 20, 31, 29, 15, 19
elite-ring-multi-traditional,244, 24, 98, 356, 91, 34, 86, 33, 17, 39
elite-ring-multi-young,235, 52, 18, 149, 88, 143, 77, 247, 150, 13
elite-uniform-simple-traditional,8, 13, 12, 55, 40, 18, 18, 27, 23, 12
elite-uniform-simple-young,18, 14, 16, 24, 42, 27, 22, 17, 7, 25
elite-uniform-multi-traditional,340, 167, 15, 97, 70, 14, 210, 57, 10, 204
elite-uniform-multi-young,72, 86, 81, 108, 45, 72, 9, 297, 218, 172
roulette-one_point-simple-traditional,97, 402, 73, 279, 86, 66, 16, 9, 286, 30
roulette-one_point-simple-young,210, 72, 60, 46, 41, 46, 50, 148, 125, 139
roulette-one_point-multi-traditional,90, 592, 788, 38, 831, 1246, 1083, 24, 158, 283
roulette-one_point-multi-young,42, 183, 178, 187, 209, 331, 119, 325, 328, 79
roulette-two_point-simple-traditional,58, 62, 298, 77, 31, 35, 143, 153, 85, 46
roulette-two_point-simple-young,57, 87, 26, 104, 34, 36, 28, 33, 163, 39
roulette-two_point-multi-traditional,510, 86, 56, 1281, 10, 1020, 54, 178, 156, 146
roulette-two_point-multi-young,4, 164, 65, 125, 63, 196, 49, 212, 205, 34
roulette-ring-simple-traditional,11, 149, 285, 71, 108, 35, 25, 31, 98, 131
roulette-ring-simple-young, 28, 171, 126, 25, 37, 91, 181, 51, 128, 13
roulette-ring-multi-traditional,1076, 89, 294, 297, 277, 233, 98, 498, 7, 240
roulette-ring-multi-young,71, 326, 41, 251, 65, 530, 106, 262, 156, 198
roulette-uniform-simple-traditional,105, 494, 81, 89, 202, 7, 31, 28, 44, 230
roulette-uniform-simple-young,108, 26, 56, 19, 208, 151, 63, 154, 64, 29
roulette-uniform-multi-traditional,738, 47, 323, 62, 925, 196, 639, 27, 273, 776
roulette-uniform-multi-young,204, 134, 81, 26, 81, 84, 182, 197, 29, 52
universal-one_point-simple-traditional,19, 169, 221, 30, 31, 18, 110, 258, 29, 54
universal-one_point-simple-young,98, 181, 9, 106, 153, 31, 345, 537, 750, 7
universal-one_point-multi-traditional,80, 106, 276, 31, 181, 170, 292, 310, 232, 386
universal-one_point-multi-young,138, 587, 224, 2506, 181, 39, 1682, 192, 168, 515
universal-two_point-simple-traditional,21, 41, 50, 17, 18, 98, 94, 11, 39, 165
universal-two_point-simple-young,158, 43, 52, 14, 63, 65, 21, 52, 20, 26
universal-two_point-multi-traditional,150, 252, 233, 269, 67, 195, 31, 100, 40, 48
universal-two_point-multi-young,104, 160, 97, 60, 262, 64, 48, 60, 282, 65
universal-ring-simple-traditional,60, 150, 115, 169, 54, 41, 41, 11, 29, 98
universal-ring-simple-young,10, 13, 22, 10, 50, 49, 24, 86, 76, 34
universal-ring-multi-traditional,71, 79, 15, 221, 89, 230, 164, 283, 6, 29
universal-ring-multi-young,287, 35, 145, 44, 18, 19, 26, 102, 8, 111
universal-uniform-simple-traditional,16, 27, 16, 36, 47, 14, 24, 61, 13, 25
universal-uniform-simple-young,13, 31, 35, 35, 73, 10, 66, 18, 14, 56
universal-uniform-multi-traditional,31, 60, 373, 399, 53, 80, 165, 83, 126, 267
universal-uniform-multi-young,114, 53, 23, 222, 385, 202, 43, 306, 16, 80
prob_tournament-one_point-simple-traditional,36, 60, 71, 28, 40, 21, 33, 51, 50, 49
prob_tournament-one_point-simple-young,107, 123, 49, 52, 81, 17, 23, 57, 41, 55
prob_tournament-one_point-multi-traditional,124, 110, 59, 158, 164, 40, 28, 46, 43, 575
prob_tournament-one_point-multi-young,76, 152, 40, 13, 110, 83, 194, 209, 67, 35
prob_tournament-two_point-simple-traditional,74, 39, 48, 26, 38, 41, 44, 10, 56, 19
prob_tournament-two_point-simple-young,88, 33, 73, 74, 20, 26, 38, 114, 28, 33
prob_tournament-two_point-multi-traditional,84, 86, 68, 72, 49, 162, 82, 169, 32, 52
prob_tournament-two_point-multi-young,96, 25, 41, 148, 125, 910, 296, 341, 164, 178
prob_tournament-ring-simple-traditional,11, 25, 89, 36, 44, 31, 57, 58, 63, 14
prob_tournament-ring-simple-young,85, 35, 97, 25, 35, 35, 31, 16, 78, 46
prob_tournament-ring-multi-traditional,56, 139, 26, 238, 26, 171, 97, 28, 64, 42
prob_tournament-ring-multi-young,38, 11, 76, 235, 197, 247, 98, 500, 75, 204
prob_tournament-uniform-simple-traditional,42, 31, 69, 32, 48, 34, 35, 21, 40, 45
prob_tournament-uniform-simple-young,62, 43, 24, 48, 32, 12, 61, 17, 22, 18
prob_tournament-uniform-multi-traditional,241, 411, 106, 37, 124, 239, 40, 80, 507, 439
prob_tournament-uniform-multi-young,155, 278, 64, 266, 15, 19, 125, 32, 169, 300
det_tournament-one_point-simple-traditional.12, 33, 30, 24, 15, 16, 22, 37, 7, 33
det_tournament-one_point-simple-young,13, 22, 29, 25, 27, 35, 30, 14, 32, 20
det_tournament-one_point-multi-traditional,8, 13, 459, 220, 30, 65, 182, 54, 33, 27
det_tournament-one_point-multi-young,16, 40, 30, 25, 80, 19, 22, 59, 16, 28
det_tournament-two_point-simple-traditional,24, 49, 12, 24, 15, 20, 34, 21, 11, 13
det_tournament-two_point-simple-young,26, 14, 15, 13, 19, 30, 34, 47, 21, 39
det_tournament-two_point-multi-traditional,32, 135, 233, 63, 82, 276, 90, 116, 14, 57
det_tournament-two_point-multi-young,147, 111, 26, 41, 19, 11, 428, 168, 79, 117
det_tournament-ring-simple-traditional,17, 23, 21, 20, 20, 9, 18, 6, 12, 15
det_tournament-ring-simple-young,41, 14, 20, 19, 6, 13, 12, 19, 18, 43
det_tournament-ring-multi-traditional,6, 65, 197, 28, 90, 10, 231, 16, 141, 114
det_tournament-ring-multi-young,206, 142, 112, 18, 135, 95, 69, 86, 89, 11
det_tournament-uniform-simple-traditional,20, 20, 11, 12, 26, 19, 19, 40, 3, 5
det_tournament-uniform-simple-young,10, 9, 12, 14, 10, 14, 10, 20, 14, 21
det_tournament-uniform-multi-traditional,95, 62, 188, 249, 40, 352, 78, 280, 28, 188
det_tournament-uniform-multi-young,44, 24, 126, 137, 65, 93, 75, 37, 130, 173
ranking-one_point-simple-traditional,21, 15, 28, 23, 12, 15, 24, 8, 12, 32
ranking-one_point-simple-young,46, 15, 31, 22, 21, 26, 23, 16, 12, 19
ranking-one_point-multi-traditional,69, 52, 50, 116, 47, 28, 13, 33, 16, 129
ranking-one_point-multi-young,12, 210, 50, 139, 161, 14, 33, 31, 184, 34
